Time                Connection      Action                           Details                                                                                                                                                                                                                                                                                                            Severity  Alarm                                  
2016/6/29 13:21:24  10.134.154.141  Alarm upgraded from Information  The disk activity for the most active disk is currently 98.69%. (averaged over 30 seconds)                                                                                                                                                                                                                             High  Most Active Disk (Pct Busy)              
2016/6/28 06:46:50  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 795.51. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 06:34:48  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 886.77. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 06:23:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 06:22:38  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 904.61. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 06:11:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 06:09:31  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 854.24. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 06:06:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 05:56:24  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 786.92. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 05:45:25  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 829.62. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 05:37:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 05:32:19  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 906.92. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 05:24:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 05:21:16  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 836.13. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 05:12:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 05:08:11  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 903.95. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 05:03:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 04:56:06  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 856.98. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 04:44:00  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 874.65. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 04:36:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 04:30:53  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 932.95. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 04:20:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 04:18:48  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 853.55. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 04:18:47  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 04:06:38  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 864.1. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                    Normal  Page In (Paging In)                      
2016/6/28 03:55:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 03:53:37  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 992.01. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 03:44:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 03:41:30  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 896.09. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 03:29:25  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 998.42. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 03:22:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 03:18:17  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 878.78. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 03:07:19  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 920.7. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                    Normal  Page In (Paging In)                      
2016/6/28 02:55:13  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 853.53. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 02:50:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 02:41:59  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 788.88. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 02:39:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 02:16:51  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 798.79. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 02:04:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 02:04:42  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 919.06. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 01:53:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 01:52:41  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 854.43. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 01:42:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 01:40:34  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 858.1. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                    Normal  Page In (Paging In)                      
2016/6/28 01:28:29  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 965.2. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                    Normal  Page In (Paging In)                      
2016/6/28 01:20:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 01:16:26  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 960.75. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 01:09:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 01:05:16  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 914.45. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 01:02:43  10.134.154.141  Alarm canceled from Low                                                                                                                                                                                                                                                                                                                               Normal  Swap In (Swapping In)                    
2016/6/28 00:53:11  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 867.45. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 00:43:06  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 894.87. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 00:38:43  10.134.154.141  Alarm canceled from Low                                                                                                                                                                                                                                                                                                                               Normal  Blocked Processes (Blocked Processes)    
2016/6/28 00:31:01  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 832.28. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 00:27:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 00:18:53  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 877. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                      Normal  Page In (Paging In)                      
2016/6/28 00:10:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 00:09:54  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 857.76. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/28 00:08:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 00:06:43  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/28 00:02:43  10.134.154.141  Alarm canceled from Medium                                                                                                                                                                                                                                                                                                                            Normal  Swap In (Swapping In)                    
2016/6/27 23:49:43  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 923.01. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/27 23:48:44  10.134.154.141  Alarm canceled from Low                                                                                                                                                                                                                                                                                                                               Normal  Swap In (Swapping In)                    
2016/6/27 23:48:38  10.134.154.141  Alarm canceled from Low          Memory Page Out rate is averaging 461.11.   For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                Normal  Page Out (Paging Out)                    
2016/6/27 23:45:43  10.134.154.141  Alarm canceled from Medium                                                                                                                                                                                                                                                                                                                            Normal  Swap Out (Swapping Out)                  
2016/6/27 23:43:42  10.134.154.141  Alarm canceled from Low                                                                                                                                                                                                                                                                                                                               Normal  Blocked Processes (Blocked Processes)    
2016/6/27 23:40:17  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 23:37:17  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 23:34:17  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 23:32:17  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 23:30:35  10.134.154.141  Alarm canceled from Low          Memory Page Out rate is averaging 280.67.   For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                Normal  Page Out (Paging Out)                    
2016/6/27 23:30:17  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 23:27:28  10.134.154.141  Alarm canceled from Low          Memory Page Out rate is averaging 342.07.   For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                Normal  Page Out (Paging Out)                    
2016/6/27 23:26:43  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 405.05. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/27 23:26:17  10.134.154.141  Alarm canceled from Medium                                                                                                                                                                                                                                                                                                                            Normal  Swap Out (Swapping Out)                  
2016/6/27 23:22:20  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 23:18:20  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 23:14:20  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 23:13:20  10.134.154.141  Alarm canceled from High                                                                                                                                                                                                                                                                                                                              Normal  Swap Out (Swapping Out)                  
2016/6/27 23:09:20  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 23:05:20  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 23:03:20  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 23:01:20  10.134.154.141  Alarm canceled from High                                                                                                                                                                                                                                                                                                                              Normal  Swap Out (Swapping Out)                  
2016/6/27 23:00:20  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 22:54:29  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 22:51:25  10.134.154.141  Alarm canceled from Low                                                                                                                                                                                                                                                                                                                               Normal  Swap Out (Swapping Out)                  
2016/6/27 22:49:32  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 22:42:23  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 22:41:23  10.134.154.141  Alarm canceled from Medium                                                                                                                                                                                                                                                                                                                            Normal  Swap Out (Swapping Out)                  
2016/6/27 22:40:23  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 22:33:23  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 22:31:23  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 22:28:23  10.134.154.141  Alarm canceled from Low                                                                                                                                                                                                                                                                                                                               Normal  Swap Out (Swapping Out)                  
2016/6/27 22:24:23  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 22:22:23  10.134.154.141  Alarm canceled from High                                                                                                                                                                                                                                                                                                                              Normal  Swap Out (Swapping Out)                  
2016/6/27 22:22:05  10.134.154.141  Alarm canceled from Information  Memory Page In rate is averaging 292.25. For Linux and Sun, this value is measured in KBytes/Sec.  For HP and AIX, this value is measured in Pages/Sec. (averaged over 30 seconds)                                                                                                                                   Normal  Page In (Paging In)                      
2016/6/27 22:20:23  10.134.154.141  Alarm canceled from Low                                                                                                                                                                                                                                                                                                                               Normal  Blocked Processes (Blocked Processes)    
2016/6/27 22:16:22  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 22:13:22  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 22:12:22  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Most Active Disk (Pct Busy)              
2016/6/27 22:12:22  10.134.154.141  Alarm canceled from High                                                                                                                                                                                                                                                                                                                              Normal  Swap Out (Swapping Out)                  
2016/6/27 22:08:21  10.134.154.141  Alarm canceled from Low                                                                                                                                                                                                                                                                                                                               Normal  Blocked Processes (Blocked Processes)    
2016/6/27 21:59:21  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 21:57:21  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 21:56:21  10.134.154.141  Alarm canceled from Medium                                                                                                                                                                                                                                                                                                                            Normal  Swap Out (Swapping Out)                  
2016/6/27 21:55:21  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
2016/6/27 21:52:21  10.134.154.141  Alarm canceled from Information                                                                                                                                                                                                                                                                                                                       Normal  Blocked Processes (Blocked Processes)    
